Wortfamilie GEBEN: Adjekive und Adverben
Сданные документы были проверены.;;;Die abgegebenen Unterlagen wurden überprüft.;;
Данное обещание должно быть выполнено.;;;Das abgegebene Versprechen muss eingehalten werden.;;
Указанные данные неверны.;;;Die angegebenen Daten stimmen nicht.;;
Следуйте указанным инструкциям.;;;Folgen Sie den angegebenen Anweisungen.;;
Он хвастливый человек.;;;Er ist ein angegebener Mensch.;;
Она очень хвастлива.;;;Sie ist sehr angegeben.;;
Отправленное письмо должно прийти завтра.;;;Der aufgegebene Brief sollte morgen ankommen.;;
Заброшенный проект был позже возобновлён.;;;Das aufgegebene Projekt wurde später wieder aufgenommen.;;
Потраченные деньги нельзя вернуть.;;;Das ausgegabene Geld kann nicht zurückgefordert werden.;;
Выданные инструкции были неясны.;;;Die ausgegebenen Anweisungen waren unklar.;;
Введённые данные были сохранены.;;;Die eingegebenen Daten wurden gespeichert.;;
Введённый пароль неверен.;;;Das eingegebene Passwort ist falsch.;;
Это был продуктивный разговор.;;;Es war ein ergiebiges Gespräch.;;
Почва очень плодородна.;;;Der Boden ist sehr ergiebig.;;
Шахта богата золотом.;;;Die Mine ist ergiebig an Gold.;;
Мы основательно отпраздновали.;;;Wir haben ausgiebig gefeiert.;;
После обильного завтрака мы пошли гулять.;;;Nach einem ausgiebigen Frühstück gingen wir spazieren.;;
Он основательно исследовал эту тему.;;;Er hat das Thema ausgiebig recherchiert.;;
Он очень щедр на деньги.;;;Er ist sehr freigebig mit seinem Geld.;;
Она щедрая хозяйка.;;;Sie ist eine freigebige Gastgeberin.;;
Он был щедр на похвалу.;;;Er war freigebig mit Lob.;;
Она самоотверженно заботится о своих детях.;;;Sie kümmert sich hingebungsvoll um ihre Kinder.;;
Он с преданностью работает над своим проектом.;;;Er arbeitet hingebungsvoll an seinem Projekt.;;
Она самозабвенно играла на пианино.;;;Sie spielte hingebungsvoll Klavier.;;
Он очень уступчив со своими детьми.;;;Er ist sehr nachgiebig mit seinen Kindern.;;
Не будь слишком уступчивым!;;;Sei nicht zu nachgiebig!;;
Материал мягкий и податливый.;;;Das Material ist weich und nachgiebig.;;
Почва после дождя податливая.;;;Der Boden ist nach dem Regen nachgiebig.;;
Окружающие горы восхитительны.;;;Die umgebenden Berge sind wunderschön.;;
Окружающая природа предлагает много возможностей.;;;Die umgebende Natur bietet viele Möglichkeiten.;;
Он тщетно пытался убедить её.;;;Er versuchte vergebens, sie zu überzeugen.;;
Все усилия были напрасны.;;;Alle Mühe war vergebens.;;
Я напрасно ждал его.;;;Ich habe vergebens auf ihn gewartet.;;
Это была тщетная попытка.;;;Es war ein vergeblicher Versuch.;;
Его усилия были напрасны.;;;Seine Bemühungen waren vergeblich.;;
Она тщетно ждала ответа.;;;Sie wartete vergeblich auf eine Antwort.;;
Мы должны придерживаться предписанных правил.;;;Wir müssen uns an die vorgegebenen Regeln halten.;;
Заданный график слишком напряжённый.;;;Der vorgegebene Zeitplan ist zu eng.;;
Заданное направление должно соблюдаться.;;;Die vorgegebene Richtung muss eingehalten werden.;;
Признаюсь, я совершил ошибку.;;;Zugegeben, ich habe einen Fehler gemacht.;;
Это, признанно, сложная ситуация.;;;Das ist zugegeben eine schwierige Situation.;;
Добавленные специи улучшают вкус.;;;Die zugegebenen Gewürze verbessern den Geschmack.;;
С добавленными средствами результат был улучшен.;;;Mit zugegebenen Mitteln wurde das Ergebnis verbessert.;;
