Wortfamilie NEHMEN Aussage
Wir müssen dieses Projekt endlich in Angriff nehmen.;;;Нам нужно наконец приступить к этому проекту.;;
Er nahm Abschied von seiner Familie.;;;Он попрощался со своей семьей.;;
Die Gäste nahmen an der langen Tafel Platz.;;;Гости заняли места за длинным столом.;;
Ich möchte nicht zu viel von Ihrer Zeit in Anspruch nehmen.;;;Я не хочу занимать слишком много вашего времени.;;
Diese Nachteile müssen wir in Kauf nehmen.;;;С этими недостатками нам придется смириться.;;
Ich nehme Ihre Beschwerde zur Kenntnis.;;;Я принимаю вашу жалобу к сведению.;;
Er nimmt immer Rücksicht auf meine Wünsche.;;;Он всегда считается с моими желаниями.;;
Ich nehme Bezug auf Ihren Brief vom 10. Mai.;;;Я ссылаюсь на ваше письмо от 10 мая.;;
Er schwor, Rache zu nehmen.;;;Он поклялся отомстить.;;
Alle Faktoren wurden in Betracht genommen.;;;Все факторы были приняты во внимание.;;
Nimm dir Zeit für deine Familie.;;;Уделяй время своей семье.;;
Er nimmt es mit den Regeln sehr genau.;;;Он очень строго придерживается правил.;;
Sie nimmt es mit der Pünktlichkeit nicht so genau.;;;Она не слишком пунктуальна.;;
