Wortfamilie NEHMEN: SUBSTANTIVEN;;;;;
Die Abnahme der Produktion bereitet uns Sorgen.;;;Снижение производства вызывает у нас беспокойство.;;
Die Abnahme des Neubaus findet nächste Woche statt.;;;Приёмка нового здания состоится на следующей неделе.;;
Ihre Annahme ist falsch.;;;Ваше предположение неверно.;;
Die Annahme des Pakets erfolgt zwischen 8 und 18 Uhr.;;;Прием посылки осуществляется между 8 и 18 часами.;;
Die Aufnahme in den Verein ist kostenlos.;;;Прием в клуб бесплатный.;;
Die Aufnahme des Albums dauerte zwei Monate.;;;Запись альбома заняла два месяца.;;
Das ist eine schöne Aufnahme vom Strand.;;;Это красивый снимок пляжа.;;
Es gibt keine Regel ohne Ausnahme.;;;Нет правила без исключения.;;
Sein Benehmen lässt zu wünschen übrig.;;;Его поведение оставляет желать лучшего.;;
Die regelmäßige Einnahme der Medikamente ist wichtig.;;;Регулярный прием лекарств важен.;;
Die Einnahmen des Konzerts gehen an wohltätige Zwecke.;;;Доходы от концерта идут на благотворительные цели.;;
Die Entnahme von Wasser aus dem Fluss ist verboten.;;;Забор воды из реки запрещен.;;
Für die Entnahme vom Konto benötigen Sie Ihre PIN.;;;Для снятия со счета вам нужен ваш PIN-код.;;
Die Mitnahme von Haustieren ist nicht erlaubt.;;;Взятие с собой домашних животных не разрешается.;;
Speisen zur Mitnahme.;;;Еда на вынос.;;
Die Übernahme der Firma steht kurz bevor.;;;Поглощение фирмы предстоит в ближайшее время.;;
Er lehnte die Übernahme der Verantwortung ab.;;;Он отказался брать на себя ответственность.;;
Er arbeitet in einem internationalen Unternehmen.;;;Он работает в международной компании.;;
Das Unternehmen hat 200 Mitarbeiter.;;;В компании работают 200 сотрудников.;;
Der Anwalt war bei der Vernehmung anwesend.;;;Адвокат присутствовал на допросе.;;
Die Vornahme dieser Operation erfordert spezielle Ausbildung.;;;Проведение данной операции требует специальной подготовки.;;
Die Vornahme der notwendigen Änderungen.;;;Внесение необходимых изменений.;;
Die Wegnahme von Eigentum ohne gerichtlichen Beschluss ist illegal.;;;Изъятие имущества без судебного постановления незаконно.;;
Nach der Wegnahme seines Spielzeugs weinte das Kind.;;;После отнятия его игрушки ребенок заплакал.;;
Die Zunahme der Kriminalität bereitet Sorgen.;;;Рост преступности вызывает беспокойство.;;
Vielen Dank für Ihre Teilnahme!;;;Большое спасибо за ваше участие!;;
China ist der größte Abnehmer für deutsche Autos.;;;Китай является крупнейшим потребителем немецких автомобилей.;;
Als Arbeitnehmer hat man Anspruch auf Urlaub.;;;Как работник, вы имеете право на отпуск.;;
Als Unternehmer trägt man viel Verantwortung.;;;Как предприниматель, вы несете большую ответственность.;;
Das Unternehmertum wird vom Staat gefördert.;;;Предпринимательство поддерживается государством.;;
Die Teilnehmer diskutierten lebhaft.;;;Участники оживленно дискутировали.;;
Die Teilnehmergebühr deckt Verpflegung und Unterlagen.;;;Плата за участие покрывает питание и материалы.;;
Bitte tragen Sie sich in die Teilnehmerliste ein.;;;Пожалуйста, занесите себя в список участников.;;
In dieser Ausnahmesituation müssen wir flexibel reagieren.;;;В этой исключительной ситуации мы должны реагировать гибко.;;
Das ist nur im Ausnahmefall erlaubt.;;;Это разрешено только в исключительном случае.;;
Es gibt eine Ausnahmeregelung für Studenten.;;;Существует исключительное правило для студентов.;;
In der Stadt wurde der Ausnahmezustand verhängt.;;;В городе было введено чрезвычайное положение.;;
