null;;;Пассив 1. Passiv 1.;;2
In unserer Stadt wird ein neues Kino eröffnet.;;;В нашем городе открывается новое кино.;;
In Berlin wurde ein altes Museum geschlossen.;;;В Берлине закрылся старый музей.;;
Ein altes Museum wurde am Dienstag geschlossen.;;;Старый музей закрылся во вторник.;;
Diese Kirche wird seit drei Jahren renoviert.;;;Эта церковь ремонтируется уже 3 года.;;
Diese Kirche wurde im Jahre 2008 renoviert.;;;Эту церковь отремонтировали в 2008 году.;;
Wie lange wird dieser Film gedreht?;;;Как долго снимают этот фильм?;;
Dieser Film wurde im Jahre 2010 gedreht.;;;Этот фильм снят в 2010 году.;;
Wann wurde dieses Schloss gebaut?;;;Когда построили этот замок?;;
Dieses Schloss wurde im 19. Jahrhundert gebaut.;;;Этот замок построили в 19 веке.;;
Wann wird dieses Buch veröffentlicht?;;;Когда опубликуют эту книгу?;;
Die ganze Stadt wurde zerstört.;;;Весь город был разрушен.;;
Nach dem Krieg wird das ganze Land zerstört.;;;После войны вся страна будет разрушена.;;
Er wurde verstanden.;;;Он был понят.;;
Ihm wurde (es) mit den Hausaufgaben geholfen.;;;Ему помогли с домашней работой.;;
Wird diese Rechnung bezahlt?;;;Этот счет будет оплачен?;;
null;;;Пассив 2. Passiv 2. Man -> Passiv;;0
Man kauft Autos immer in Deutschland.;Die Autos werden immer in Deutschland gekauft.;;Автомобили всегда покупаются в Германии.;;
Man verspricht uns immer mehr.;Es wird uns immer mehr versprochen.;;Нам всегда обещают больше.;;
Man feiert die ganze Nacht.;Er wird die ganze Nacht gefeiert.;;Его целую ночь празднуют.;;
Man spricht ständig nur über sie.;Es wird ständig nur über sie gesprochen.;;Всегда говорят только о ней.;;
So lernt man die Sprachen schneller.;So werden die Sprachen schneller gelernt.;;Таким образом языки учатся быстрее.;;
Man liest gern dieses Buch.;Dieses Buch wird gerne gelesen.;;Эта книга читается с удовольствием.;;
Man baut hier ein neues Haus.;Hier wird ein neues Haus gebaut.;;Здесь строится новый дом.;;
Man spielt hier Fußball.;Hier wird (es) Fußball gespielt.;;Здесь играют в футбол.;;
In diesem Cafe kocht man gut.;In diesem Cafe wird (es) gut gekocht.;;В этом кафе готовят хорошо.;;
Man vergisst immer seinen Namen.;Sein Name wird immer vergessen.;;Его имя всегда забывают.;;
Man spricht hier nur Deutsch.;Hier wird (es) nur Deutsch gesprochen.;;Здесь говорят только по-немецки.;;
Dort spricht man nur Englisch.;Dort wird (es) nur Englisch gesprochen.;;Там говорят только по-английски.;;
Man soll diese Arbeit heute machen.;Diese Arbeit soll heute gemacht werden.;;Эту работу должны сделать сегодня.;;
Man muss sie heute anrufen.;Sie muss heute angerufen werden.;;Ей нужно позвонить сегодня.;;
null;;;Пассив 3. Модальные глаголы. Passiv 3. Modal Verben ;;0
Heute soll alles entschieden werden!;;;Сегодня все должно решиться!;;
Deutsch soll erlernt werden!;;;Немецкий должен быть выучен!;;
Sie muss gefragt werden!;;;Надо ее спросить!;;
Die Wohnung soll verkauft werden!;;;Квартира должна быть продана!;;
Das Haus soll renoviert werden!;;;Дом должен быть отремонтирован!;;
Die Technologie soll erfunden werden.;;;Технология должна быть изобретена.;;
Das Auto kann gekauft werden.;;;Машина может быть куплена.;;
Jetzt darf keine Pause gemacht werden.;;;Сейчас нельзя делать перерыв!;;
Die Schule soll geschlossen werden.;;;Школа должна быть закрыта.;;
null;;;Пассив 4. Пассив в придаточных предложениях. Passiv 4.;;0
Sie hat gesagt, dass heute alles entschieden werden soll.;;;Она сказала, что сегодня все должно решиться.;;
Wir denken, dass dieses Buch nicht veröffentlicht wird.;;;Мы думаем, что эта книга не будет издана.;;
Sie sagt, dass jetzt keine Pause gemacht werden darf.;;;Она говорит, что сейчас нельзя делать паузу.;;
Er hat gesagt, dass sie zuerst gefragt werden soll.;;;Он сказал, что сначала надо ее спросить.;;
Der Lehrer sagt, dass dieses Buch unbedingt durchgelesen werden soll.;;;Учитель говорит, что эта книга обязательно должна быть прочитана.;;
null;;;Пассив 5. Альтернативы пассиву с модальными глаголами. Passiv 5.;;0
"Der Schrank lässt sich nicht öffnen. ";Der Schrank kann nicht geöffnet werden.;;Шкаф не открывается.;;
Das Auto lässt sich leicht reparieren.;Das Auto kann leicht reperiert werden.;;Машина легко может быть отремонтирована.;;
Das Fenster lässt sich leise schliesen.;Das Fenster kann leise geslossen werden.;;Окно может быть тихо закрыто.;;
Der Fleck lässt sich schnell entfernen.;Der Fleck kann schnell entfernt werden.;;Пятно может быть быстро удалено.;;
Der Preis für diese Küche ist nicht zu bezahlen.;Der Preis für diese Küche kann nicht bezachlt werden.;;Цена за эту кухню не может быть оплачена.;;
Die Küche ist täglich aufzuräumen.;Die Küche muss täglich aufgeräumt werden.;;Кухня должна убираться каждый день.;;
Diese Tür ist abends immer abzuschließen.;Diese Tür muss abends immer abgeschlossen werden.;;Эта дверь должна по вечерам всегда зарываться.;;
Dieser Text ist nicht zu verstehen.;Dieser Text kann nicht verstanden werden.;;Этот текст невозможно понять.;;
Diese Aufgabe ist nicht zu schaffen.;Diese Aufgabe kann nicht geschafft werden.;;Это задание невозможно сделать.;;
Diese Arbeit ist noch bis heute Abent zu erledigen.;Diese Arbeit muss noch bis heute Abend erledigt werden.;;Эта работа должна быть выполнена еще сегодня до вечера.;;
Das Problem ist lösbar.;Das Problem kann leicht gelöst werden.;;"Проблема ""решабельна"".";;
Spanisch ist leicht erlernbar.;Spanisch kann leicht erlernt werden.;;"Испанский легко ""выучивем"".";;
Deine Worte sind leicht verständlich.;Deine Worte können liecht verstanden werden.;;"Эти слова легко ""понимабельны"".";;
null;;;моя тема 1;;0
Weshalb bist du so zeitig hierher gekommen?;das ist der Grund weshalb ich herkamm.;;почему ты приехал сюда так быстро?;это причина почему я сюда пришел;
kannst du beweisen dass es wahr ist was du gesagt hast?;;;ты можешь доказать что сказаное тобой правда?;;
zur Ausnüchterung kam er demnach vorübergehend in eine Zelle und wurde später entlassen;;;поэтому его время на поместили в камеру чтобы он протрезвел, а затем выпустили;;
