Пассив 1. Passiv 1.;;2;null;;;Пассив 1. Passiv 1.;;2
В нашем городе открывается новое кино.;;;In unserer Stadt wird ein neues Kino eröffnet.;;;В нашем городе открывается новое кино.;;
В Берлине закрылся старый музей.;;;In Berlin wurde ein altes Museum geschlossen.;;;В Берлине закрылся старый музей.;;
Старый музей закрылся во вторник.;;;Ein altes Museum wurde am Dienstag geschlossen.;;;Старый музей закрылся во вторник.;;
Эта церковь ремонтируется уже 3 года.;;;Diese Kirche wird seit drei Jahren renoviert.;;;Эта церковь ремонтируется уже 3 года.;;
Эту церковь отремонтировали в 2008 году.;;;Diese Kirche wurde im Jahre 2008 renoviert.;;;Эту церковь отремонтировали в 2008 году.;;
Как долго снимают этот фильм?;;;Wie lange wird dieser Film gedreht?;;;Как долго снимают этот фильм?;;
Этот фильм снят в 2010 году.;;;Dieser Film wurde im Jahre 2010 gedreht.;;;Этот фильм снят в 2010 году.;;
Когда построили этот замок?;;;Wann wurde dieses Schloss gebaut?;;;Когда построили этот замок?;;
Этот замок построили в 19 веке.;;;Dieses Schloss wurde im 19. Jahrhundert gebaut.;;;Этот замок построили в 19 веке.;;
Когда опубликуют эту книгу?;;;Wann wird dieses Buch veröffentlicht?;;;Когда опубликуют эту книгу?;;
Весь город был разрушен.;;;Die ganze Stadt wurde zerstört.;;;Весь город был разрушен.;;
После войны вся страна будет разрушена.;;;Nach dem Krieg wird das ganze Land zerstört.;;;После войны вся страна будет разрушена.;;
Он был понят.;;;Er wurde verstanden.;;;Он был понят.;;
Ему помогли с домашней работой.;;;Ihm wurde (es) mit den Hausaufgaben geholfen.;;;Ему помогли с домашней работой.;;
Этот счет будет оплачен?;;;Wird diese Rechnung bezahlt?;;;Этот счет будет оплачен?;;
Пассив 2. Passiv 2. Man -> Passiv;;0;null;;;Пассив 2. Passiv 2. Man -> Passiv;;0
Автомобили всегда покупаются в Германии.;;;Man kauft Autos immer in Deutschland.;Die Autos werden immer in Deutschland gekauft.;;Автомобили всегда покупаются в Германии.;;
Нам всегда обещают больше.;;;Man verspricht uns immer mehr.;Es wird uns immer mehr versprochen.;;Нам всегда обещают больше.;;
Его целую ночь празднуют.;;;Man feiert die ganze Nacht.;Er wird die ganze Nacht gefeiert.;;Его целую ночь празднуют.;;
Всегда говорят только о ней.;;;Man spricht ständig nur über sie.;Es wird ständig nur über sie gesprochen.;;Всегда говорят только о ней.;;
Таким образом языки учатся быстрее.;;;So lernt man die Sprachen schneller.;So werden die Sprachen schneller gelernt.;;Таким образом языки учатся быстрее.;;
Эта книга читается с удовольствием.;;;Man liest gern dieses Buch.;Dieses Buch wird gerne gelesen.;;Эта книга читается с удовольствием.;;
Здесь строится новый дом.;;;Man baut hier ein neues Haus.;Hier wird ein neues Haus gebaut.;;Здесь строится новый дом.;;
Здесь играют в футбол.;;;Man spielt hier Fußball.;Hier wird (es) Fußball gespielt.;;Здесь играют в футбол.;;
В этом кафе готовят хорошо.;;;In diesem Cafe kocht man gut.;In diesem Cafe wird (es) gut gekocht.;;В этом кафе готовят хорошо.;;
Его имя всегда забывают.;;;Man vergisst immer seinen Namen.;Sein Name wird immer vergessen.;;Его имя всегда забывают.;;
Здесь говорят только по-немецки.;;;Man spricht hier nur Deutsch.;Hier wird (es) nur Deutsch gesprochen.;;Здесь говорят только по-немецки.;;
Там говорят только по-английски.;;;Dort spricht man nur Englisch.;Dort wird (es) nur Englisch gesprochen.;;Там говорят только по-английски.;;
Эту работу должны сделать сегодня.;;;Man soll diese Arbeit heute machen.;Diese Arbeit soll heute gemacht werden.;;Эту работу должны сделать сегодня.;;
Ей нужно позвонить сегодня.;;;Man muss sie heute anrufen.;Sie muss heute angerufen werden.;;Ей нужно позвонить сегодня.;;
"Пассив 3. Модальные глаголы. Passiv 3. Modal Verben ";;0;null;;;Пассив 3. Модальные глаголы. Passiv 3. Modal Verben ;;0
Сегодня все должно решиться!;;;Heute soll alles entschieden werden!;;;Сегодня все должно решиться!;;
Немецкий должен быть выучен!;;;Deutsch soll erlernt werden!;;;Немецкий должен быть выучен!;;
Надо ее спросить!;;;Sie muss gefragt werden!;;;Надо ее спросить!;;
Квартира должна быть продана!;;;Die Wohnung soll verkauft werden!;;;Квартира должна быть продана!;;
Дом должен быть отремонтирован!;;;Das Haus soll renoviert werden!;;;Дом должен быть отремонтирован!;;
Технология должна быть изобретена.;;;Die Technologie soll erfunden werden.;;;Технология должна быть изобретена.;;
Машина может быть куплена.;;;Das Auto kann gekauft werden.;;;Машина может быть куплена.;;
Сейчас нельзя делать перерыв!;;;Jetzt darf keine Pause gemacht werden.;;;Сейчас нельзя делать перерыв!;;
Школа должна быть закрыта.;;;Die Schule soll geschlossen werden.;;;Школа должна быть закрыта.;;
Пассив 4. Пассив в придаточных предложениях. Passiv 4.;;0;null;;;Пассив 4. Пассив в придаточных предложениях. Passiv 4.;;0
Она сказала, что сегодня все должно решиться.;;;Sie hat gesagt, dass heute alles entschieden werden soll.;;;Она сказала, что сегодня все должно решиться.;;
Мы думаем, что эта книга не будет издана.;;;Wir denken, dass dieses Buch nicht veröffentlicht wird.;;;Мы думаем, что эта книга не будет издана.;;
Она говорит, что сейчас нельзя делать паузу.;;;Sie sagt, dass jetzt keine Pause gemacht werden darf.;;;Она говорит, что сейчас нельзя делать паузу.;;
Он сказал, что сначала надо ее спросить.;;;Er hat gesagt, dass sie zuerst gefragt werden soll.;;;Он сказал, что сначала надо ее спросить.;;
Учитель говорит, что эта книга обязательно должна быть прочитана.;;;Der Lehrer sagt, dass dieses Buch unbedingt durchgelesen werden soll.;;;Учитель говорит, что эта книга обязательно должна быть прочитана.;;
Пассив 5. Альтернативы пассиву с модальными глаголами. Passiv 5.;;0;null;;;Пассив 5. Альтернативы пассиву с модальными глаголами. Passiv 5.;;0
Шкаф не открывается.;;;"Der Schrank lässt sich nicht öffnen. ";Der Schrank kann nicht geöffnet werden.;;Шкаф не открывается.;;
